vid,idx,kind,claim_id,mse_nrm,L_h,cos,r_norm,dist_to_orig,dL_h,L_o,dL_o,dist
810,90,paraphrase,-1,0.047452606,0.10762249,0.97627425,72.05957,0.0069731236,0.005062178,0.001467189285904169,-0.0005092055071145296,0.0069731236
811,90,translate,-1,0.05099376,0.11565382,0.97450364,72.07644,0.013702816,0.013093509,0.002960509853437543,0.0009841150604188442,0.013702816
812,90,polarity,-1,0.04857491,0.110167876,0.9757129,72.09469,0.007057883,0.0076075643,0.003363966476172209,0.00138757168315351,0.007057883
813,90,vocab,-1,0.07540237,0.17101255,0.9622995,72.05336,0.09705707,0.06845224,0.006034275516867638,0.004057880723848939,0.09705707
814,90,cat,-1,0.40957522,0.92891645,0.7952129,72.12532,0.82346296,0.8263562,1.7295628786087036,1.727586483815685,0.82346296
815,90,shuffle,-1,0.0541991,0.12292353,0.97290087,72.110916,0.018204195,0.02036322,0.0019785903859883547,2.1955929696559906e-06,0.018204195
816,90,unrelated,63,0.8456194,1.9178643,0.57719105,72.07596,1.8410625,1.815304,9.333319664001465,9.331343269208446,1.8410625
817,90,unrelated_token,63,0.7123079,1.6155139,0.64384645,72.080605,1.5417882,1.5129536,0.17888909578323364,0.17691270099021494,1.5417882
819,91,paraphrase,-1,0.099552065,0.22578403,0.95022434,71.68925,0.0068430533,0.021285221,0.059427227824926376,0.007225740700960159,0.0068430533
820,91,translate,-1,0.092363805,0.20948106,0.9538185,71.697754,0.014620407,0.004982248,0.05660500377416611,0.00440351665019989,0.014620407
821,91,polarity,-1,0.094334885,0.21395148,0.9528328,71.71279,0.0077202115,0.009452671,0.06280618906021118,0.010604701936244965,0.0077202115
822,91,vocab,-1,0.16759661,0.38010904,0.91620207,71.60032,0.18102461,0.17561023,0.0696091502904892,0.01740766316652298,0.18102461
823,91,cat,-1,0.36773306,0.8340184,0.8161338,71.78235,0.7160603,0.6295196,2.1360228061676025,2.0838213190436363,0.7160603
824,91,shuffle,-1,0.098191164,0.22269751,0.9509046,71.702995,0.0180874,0.018198699,0.03826047480106354,-0.01394101232290268,0.0180874
825,91,unrelated,89,0.8737413,1.981645,0.56312966,71.93195,1.894676,1.7771462,1.7499268054962158,1.6977253183722496,1.894676
826,91,unrelated_token,89,0.80501,1.8257624,0.5974952,71.84928,1.7389047,1.6212636,0.5123702883720398,0.4601688012480736,1.7389047
828,92,paraphrase,-1,0.3070857,0.6964702,0.84645736,72.19429,0.0069953064,0.026274502,0.1532837152481079,0.023093387484550476,0.0069953064
829,92,translate,-1,0.3011306,0.682964,0.8494349,72.19603,0.007512069,0.012768328,0.13925370573997498,0.009063377976417542,0.007512069
830,92,polarity,-1,0.2993492,0.67892385,0.8503258,72.22569,0.0033647586,0.008728147,0.13078559935092926,0.0005952715873718262,0.0033647586
831,92,vocab,-1,0.40938586,0.92848694,0.7953073,72.20406,0.091239676,0.25829124,0.2659373879432678,0.1357470601797104,0.091239676
832,92,cat,-1,0.7904558,1.7927535,0.6047723,71.882225,1.0429753,1.1225578,10.259256362915039,10.129066035151482,1.0429753
833,92,shuffle,-1,0.30150113,0.6838044,0.8492499,72.195816,0.01392432,0.013608694,0.14349570870399475,0.013305380940437317,0.01392432
834,92,unrelated,146,1.1981945,2.7175045,0.40090314,71.7637,1.8919362,2.047309,6.398362636566162,6.268172308802605,1.8919362
835,92,unrelated_token,146,1.1576566,2.6255646,0.42117205,71.59713,1.8214278,1.9553689,8.48950481414795,8.359314486384392,1.8214278
837,93,paraphrase,-1,0.10669975,0.24199499,0.94665045,72.04334,0.012142587,0.028961003,0.0004216472734697163,0.00013122419477440417,0.012142587
838,93,translate,-1,0.10541178,0.23907387,0.9472944,72.04654,0.016910188,0.026039883,0.0004595833015628159,0.00016916022286750376,0.016910188
839,93,polarity,-1,0.09103518,0.20646775,0.9544826,72.055244,0.0050931047,-0.0065662414,0.0002937481040135026,3.3250253181904554e-06,0.0050931047
840,93,vocab,-1,0.15235683,0.34554523,0.92382216,72.052956,0.1091635,0.13251124,0.00030866480665281415,1.8241727957502007e-05,0.1091635
841,93,cat,-1,0.4168396,0.945392,0.7915806,72.18393,0.77607995,0.73235804,1.8680435419082642,1.8677531188295688,0.77607995
842,93,shuffle,-1,0.09004956,0.20423235,0.9549757,72.04885,0.010619894,-0.008801639,0.0002856734790839255,-4.749599611386657e-06,0.010619894
843,93,unrelated,98,0.99650747,2.2600784,0.50174683,72.36989,2.048626,2.0470445,10.38853931427002,10.388248891191324,2.048626
844,93,unrelated_token,98,0.84792644,1.9230968,0.5760372,71.951035,1.7162519,1.7100627,0.004145051818341017,0.0038546287396457046,1.7162519
846,94,paraphrase,-1,0.113900736,0.25832683,0.94304985,71.7498,0.011913301,-0.010360748,0.018090713769197464,-0.005360512062907219,0.011913301
847,94,translate,-1,0.13022873,0.2953587,0.93488604,71.76931,0.025753498,0.026671112,0.02740304358303547,0.003951817750930786,0.025753498
848,94,polarity,-1,0.1319327,0.2992233,0.9340339,71.76103,0.010887686,0.030535728,0.030652688816189766,0.007201462984085083,0.010887686
849,94,vocab,-1,0.16974422,0.3849798,0.915128,71.76776,0.1919589,0.11629224,0.017322160303592682,-0.006129065528512001,0.1919589
850,94,cat,-1,0.27902892,0.6328375,0.86048603,71.67359,0.5226878,0.3641499,1.337857723236084,1.3144064974039793,0.5226878
851,94,shuffle,-1,0.11602728,0.26314983,0.94198674,71.73171,0.0034626513,-0.0055377483,0.025225240737199783,0.0017740149050951004,0.0034626513
852,94,unrelated,15,0.7666958,1.7388657,0.6166523,71.99381,1.7291555,1.4701781,1.1928685903549194,1.1694173645228148,1.7291555
853,94,unrelated_token,15,0.5629085,1.2766762,0.71854615,71.79183,1.229421,1.0079886,0.14821478724479675,0.12476356141269207,1.229421
855,95,paraphrase,-1,0.26133198,0.5927008,0.8693345,71.84178,0.010862814,0.037273765,0.029690973460674286,0.0017944928258657455,0.010862814
856,95,translate,-1,0.25221652,0.57202697,0.87389207,71.85652,0.01533482,0.016599953,0.024958020076155663,-0.002938460558652878,0.01533482
857,95,polarity,-1,0.2505503,0.568248,0.8747253,71.84649,0.012702659,0.012820959,0.028127767145633698,0.00023128651082515717,0.012702659
858,95,vocab,-1,0.4830071,1.0954599,0.7584969,71.96278,0.47827524,0.5400329,0.047314535826444626,0.019418055191636086,0.47827524
859,95,cat,-1,0.554694,1.2580458,0.7226535,71.99493,0.73981446,0.7026188,4.657233238220215,4.629336757585406,0.73981446
860,95,shuffle,-1,0.2691519,0.6104364,0.86542445,71.84811,0.026404962,0.055009365,0.03207644820213318,0.004179967567324638,0.026404962
861,95,unrelated,200,0.95166063,2.158366,0.5241701,71.848656,1.6159106,1.6029389,1.9461183547973633,1.9182218741625547,1.6159106
862,95,unrelated_token,200,0.85428256,1.9375125,0.5728592,72.1034,1.445013,1.3820856,0.09162337332963943,0.0637268926948309,1.445013
864,96,paraphrase,-1,0.04839425,0.10975814,0.9758034,72.10568,0.008721911,0.003754951,0.01718863844871521,0.00011280551552772522,0.008721911
865,96,translate,-1,0.054134894,0.12277792,0.972933,72.075096,0.013780107,0.016774729,0.008327055722475052,-0.008748777210712433,0.013780107
866,96,polarity,-1,0.051689148,0.11723097,0.97415584,72.12213,0.008517755,0.011227779,0.010734010487794876,-0.006341822445392609,0.008517755
867,96,vocab,-1,0.18165329,0.41198957,0.90917385,71.95567,0.26594067,0.30598637,0.01906195655465126,0.0019861236214637756,0.26594067
868,96,cat,-1,0.33355796,0.7565093,0.8332215,71.853546,0.61471784,0.65050614,8.755955696105957,8.73887986317277,0.61471784
869,96,shuffle,-1,0.05716577,0.12965195,0.9714177,72.104614,0.012037026,0.023648761,0.02090906724333763,0.0038332343101501465,0.012037026
870,96,unrelated,43,0.9009684,2.0433958,0.54951626,72.040535,1.924054,1.9373926,4.801546096801758,4.78447026386857,1.924054
871,96,unrelated_token,43,0.8050224,1.8257905,0.5974893,71.9505,1.6925244,1.7197874,1.975852370262146,1.9587765373289585,1.6925244
873,97,paraphrase,-1,0.17265712,0.39158627,0.9136721,71.93007,0.067649096,0.040948004,0.000939596095122397,-0.0008024651324376464,0.067649096
874,97,translate,-1,0.15115389,0.34281695,0.92442346,71.98509,0.03226278,-0.0078213215,0.0012023299932479858,-0.0005397312343120575,0.03226278
875,97,polarity,-1,0.16467729,0.37348804,0.9176621,71.98236,0.013499314,0.022849768,0.0011383529054000974,-0.000603708322159946,0.013499314
876,97,vocab,-1,0.30781975,0.6981351,0.8460905,71.76901,0.38072792,0.3474968,0.003946913406252861,0.0022048521786928177,0.38072792
877,97,cat,-1,0.3226997,0.73188275,0.8386507,71.84776,0.43211234,0.38124448,0.038429539650678635,0.03668747842311859,0.43211234
878,97,shuffle,-1,0.17051181,0.38672072,0.9147445,71.96547,0.04257447,0.036082447,0.0017975339433178306,5.547271575778723e-05,0.04257447
879,97,unrelated,60,0.7602295,1.7242002,0.61988574,71.88484,1.340788,1.373562,8.912287712097168,8.910545650869608,1.340788
880,97,unrelated_token,60,0.6587572,1.4940611,0.6706218,71.696495,1.1198192,1.1434228,0.017963044345378876,0.016220983117818832,1.1198192
882,98,paraphrase,-1,0.11216102,0.25438115,0.94391984,72.33118,0.044419043,0.02720417,0.05572880804538727,0.041137197986245155,0.044419043
883,98,translate,-1,0.10014471,0.22712815,0.9499281,72.35834,0.008445987,-4.8831105e-05,0.014401355758309364,-0.0001902543008327484,0.008445987
