vid,idx,kind,claim_id,mse_nrm,L_h,cos,r_norm,dist_to_orig
0,0,orig,-1,0.0757437,0.17178667,0.9621283,72.08538,0.0
1,0,paraphrase,-1,0.07630937,0.17306961,0.9618454,72.0667,0.017116958
2,0,translate,-1,0.080512315,0.1826019,0.95974404,72.07901,0.009160566
3,0,polarity,-1,0.08240204,0.1868878,0.9587991,72.07928,0.005264415
4,0,vocab,-1,0.11170119,0.25333825,0.9441496,72.05993,0.07965489
5,0,cat,-1,0.40770635,0.92467785,0.79614705,72.004974,0.723988
6,0,shuffle,-1,0.07320237,0.16602294,0.96339893,72.08567,0.0093518365
7,0,unrelated,32,0.90471774,2.0518994,0.5476414,71.94582,1.9128205
8,0,unrelated_token,32,0.63825166,1.4475545,0.6808741,72.07532,1.3206098
9,1,orig,-1,0.08911333,0.202109,0.95544374,71.91234,0.0
10,1,paraphrase,-1,0.094394155,0.2140859,0.95280313,71.89898,0.006230559
11,1,translate,-1,0.09268083,0.21020007,0.9536598,71.912445,0.006206472
12,1,polarity,-1,0.08997138,0.20405504,0.95501494,71.921165,0.002828949
13,1,vocab,-1,0.12244122,0.27769664,0.93877965,71.88512,0.074704625
14,1,cat,-1,0.5146885,1.1673132,0.7426563,71.97215,1.030448
15,1,shuffle,-1,0.11067629,0.2510138,0.9446622,71.86558,0.033023108
16,1,unrelated,90,0.81696147,1.8528682,0.5915197,72.073296,1.698838
17,1,unrelated_token,90,0.72436124,1.642851,0.6378198,72.26798,1.5174786
18,2,orig,-1,0.09113379,0.20669138,0.9544335,72.0041,0.0
19,2,paraphrase,-1,0.1005494,0.228046,0.9497257,71.9746,0.013331695
20,2,translate,-1,0.09781072,0.22183467,0.951095,71.98523,0.010899959
21,2,polarity,-1,0.09245301,0.20968339,0.9537738,72.02161,0.0036969988
22,2,vocab,-1,0.15473492,0.35093874,0.92263275,71.95048,0.15062633
23,2,cat,-1,0.4036902,0.9155692,0.7981551,71.852135,0.7111754
24,2,shuffle,-1,0.090898596,0.20615797,0.95455086,72.02547,0.015996065
25,2,unrelated,188,0.962139,2.1821308,0.51893085,72.128876,2.1075773
26,2,unrelated_token,188,0.6154602,1.3958635,0.69227016,72.1631,1.2443284
27,3,orig,-1,0.124248385,0.2817953,0.93787634,72.01381,0.0
28,3,paraphrase,-1,0.108969785,0.24714342,0.9455155,72.00121,0.019440243
29,3,translate,-1,0.11527421,0.26144186,0.94236344,72.05435,0.022587681
30,3,polarity,-1,0.11334999,0.25707772,0.9433253,72.03496,0.01664756
31,3,vocab,-1,0.16820419,0.381487,0.9158984,72.078804,0.17969333
32,3,cat,-1,0.4540941,1.0298853,0.77295315,71.95811,0.8851625
33,3,shuffle,-1,0.11418985,0.25898254,0.9429056,71.99539,0.016835475
34,3,unrelated,254,0.8421501,1.909996,0.5789253,71.91779,1.9179415
35,3,unrelated_token,254,0.60906345,1.3813556,0.6954689,72.128746,1.3643262
36,4,orig,-1,0.10136931,0.22990555,0.9493157,71.954796,0.0
37,4,paraphrase,-1,0.09820019,0.22271799,0.95090014,71.95194,0.006221948
38,4,translate,-1,0.099894255,0.22656013,0.9500532,71.942566,0.009222538
39,4,polarity,-1,0.103404656,0.23452172,0.9482979,71.95889,0.0022948282
40,4,vocab,-1,0.13070625,0.2964417,0.9346472,71.92446,0.1494421
