tau,eps_steg,eps_alias,err_cat,err_contradict,err_delete,err_paraphrase,err_polarity,err_resample,err_shuffle,err_translate,err_unrelated,err_vocab
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.006932342261598821,0.58203125,0.40420332355816224,0.0,0.35909980430528377,0.5401174168297456,0.0,0.94921875,0.0,0.8203125,0.92578125,0.0,0.84765625
0.013864684523197642,0.36328125,0.5102639296187683,0.0,0.5303326810176126,0.735812133072407,0.0,0.9921875,0.001953125,0.63671875,0.453125,0.0,0.96875
0.020797026784796464,0.22135416666666666,0.5596285434995112,0.0,0.6232876712328768,0.8346379647749511,0.0,0.99609375,0.005859375,0.46875,0.1953125,0.0,0.98828125
0.027729369046395284,0.14713541666666666,0.593841642228739,0.0,0.6888454011741683,0.8776908023483366,0.0,0.99609375,0.048828125,0.35546875,0.0859375,0.0,1.0
0.03466171130799411,0.1015625,0.6187683284457478,0.0,0.738747553816047,0.9090019569471625,0.0,0.99609375,0.15625,0.26171875,0.04296875,0.0,1.0
0.04159405356959293,0.08333333333333333,0.6358748778103617,0.0,0.7729941291585127,0.9207436399217221,0.0,0.99609375,0.236328125,0.20703125,0.04296875,0.0,1.0
0.04852639583119175,0.06770833333333333,0.6520039100684262,0.0,0.8052837573385518,0.9354207436399217,0.0,0.99609375,0.361328125,0.16796875,0.03515625,0.0,1.0
0.05545873809279057,0.05859375,0.656891495601173,0.0,0.815068493150685,0.9422700587084148,0.0,0.99609375,0.4765625,0.14453125,0.03125,0.0,1.0
0.06239108035438939,0.044270833333333336,0.666177908113392,0.0,0.8336594911937377,0.9481409001956947,0.0,0.99609375,0.5859375,0.11328125,0.01953125,0.0,1.0
0.06932342261598821,0.036458333333333336,0.6759530791788856,0.01171875,0.850293542074364,0.9559686888454012,0.0,0.99609375,0.671875,0.09375,0.015625,0.0,1.0
0.07625576487758703,0.03125,0.6842619745845552,0.015625,0.8649706457925636,0.961839530332681,0.0,1.0,0.734375,0.078125,0.015625,0.0,1.0
0.08318810713918585,0.02734375,0.6867057673509286,0.015625,0.8698630136986302,0.9667318982387475,0.0,1.0,0.802734375,0.06640625,0.015625,0.0,1.0
0.09012044940078467,0.020833333333333332,0.6925708699902249,0.015625,0.8816046966731899,0.9696673189823874,0.0,1.0,0.83203125,0.05859375,0.00390625,0.0,1.0
0.0970527916623835,0.018229166666666668,0.6950146627565983,0.015625,0.8864970645792564,0.9706457925636007,0.0,1.0,0.869140625,0.05078125,0.00390625,0.0,1.0
0.10398513392398231,0.014322916666666666,0.6979472140762464,0.015625,0.8923679060665362,0.9706457925636007,0.0,1.0,0.892578125,0.0390625,0.00390625,0.0,1.0
0.11091747618558113,0.01171875,0.7008797653958945,0.015625,0.898238747553816,0.9735812133072407,0.0,1.0,0.912109375,0.03125,0.00390625,0.0,1.0
0.11784981844717995,0.009114583333333334,0.7028347996089932,0.015625,0.9021526418786693,0.9755381604696673,0.0,1.0,0.92578125,0.0234375,0.00390625,0.0,1.0
0.12478216070877877,0.0078125,0.7033235581622679,0.015625,0.9031311154598826,0.9765166340508806,0.0,1.0,0.943359375,0.0234375,0.0,0.0,1.0
0.1317145029703776,0.00390625,0.7052785923753666,0.01953125,0.9060665362035225,0.9794520547945206,0.0,1.0,0.947265625,0.01171875,0.0,0.0,1.0
0.13864684523197643,0.00390625,0.7067448680351907,0.01953125,0.9090019569471625,0.9804305283757339,0.0,1.0,0.95703125,0.01171875,0.0,0.0,1.0
0.14557918749357524,0.00390625,0.7086999022482894,0.01953125,0.9129158512720157,0.9814090019569471,0.0,1.0,0.962890625,0.01171875,0.0,0.0,1.0
0.15251152975517407,0.00390625,0.7116324535679375,0.01953125,0.9187866927592955,0.9814090019569471,0.0,1.0,0.970703125,0.01171875,0.0,0.0,1.0
0.15944387201677288,0.0026041666666666665,0.7126099706744868,0.01953125,0.9207436399217221,0.9823874755381604,0.0,1.0,0.970703125,0.0078125,0.0,0.0,1.0
0.1663762142783717,0.0026041666666666665,0.7150537634408602,0.0234375,0.9246575342465754,0.9843444227005871,0.0,1.0,0.974609375,0.0078125,0.0,0.0,1.0
0.17330855653997052,0.0013020833333333333,0.717008797653959,0.02734375,0.9275929549902152,0.9843444227005871,0.0,1.0,0.978515625,0.00390625,0.0,0.0,1.0
0.18024089880156935,0.0013020833333333333,0.718475073313783,0.02734375,0.9305283757338552,0.9843444227005871,0.0,1.0,0.982421875,0.00390625,0.0,0.0,1.0
0.18717324106316816,0.0013020833333333333,0.7189638318670577,0.02734375,0.9315068493150684,0.9863013698630136,0.0,1.0,0.98828125,0.00390625,0.0,0.0,1.0
0.194105583324767,0.0013020833333333333,0.7189638318670577,0.02734375,0.9315068493150684,0.987279843444227,0.0,1.0,0.990234375,0.00390625,0.0,0.0,1.0
