tau,eps_steg,eps_alias,err_contradict,err_delete,err_paraphrase,err_resample,err_shuffle,err_translate,err_unrelated
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.006256655045320515,0.9882736156351791,0.470659407138536,0.6818580192813322,0.25719267654751526,0.974559686888454,0.0,0.990234375,1.0,0.0
0.01251331009064103,0.9446254071661238,0.5995160314579552,0.8685363716038562,0.5274629468177855,0.9393346379647749,0.00390625,0.89453125,1.0,0.0
0.018769965135961547,0.8820846905537459,0.632788868723533,0.9167397020157756,0.6774193548387096,0.8884540117416829,0.064453125,0.759765625,0.998046875,0.0
0.02502662018128206,0.8169381107491857,0.647912885662432,0.9386503067484663,0.7611159546643418,0.8238747553816047,0.21484375,0.62890625,0.998046875,0.0
0.031283275226602576,0.7576547231270359,0.6551724137931034,0.9491673970201577,0.8247602441150829,0.7455968688845401,0.41015625,0.529296875,0.998046875,0.0
0.037539930271923094,0.7224755700325733,0.6654567453115547,0.9640666082383874,0.8535309503051438,0.6888454011741683,0.57421875,0.48046875,0.998046875,0.0
0.043796585317243605,0.6768729641693811,0.6721113127646703,0.9737072743207712,0.8796861377506539,0.62426614481409,0.671875,0.412109375,0.994140625,0.0
0.05005324036256412,0.644299674267101,0.6757410768300061,0.978965819456617,0.8918918918918919,0.5753424657534246,0.759765625,0.3671875,0.990234375,0.0
0.05630989540788464,0.613029315960912,0.677555958862674,0.9815950920245399,0.9049694856146469,0.5362035225048923,0.83203125,0.31640625,0.986328125,0.0
0.06256655045320515,0.5856677524429967,0.6799758015728977,0.9851007887817704,0.9128160418482999,0.49902152641878667,0.89453125,0.283203125,0.974609375,0.0
0.06882320549852566,0.5667752442996743,0.6805807622504537,0.985977212971078,0.9154315605928509,0.46966731898238745,0.9296875,0.259765625,0.970703125,0.0
0.07507986054384619,0.5498371335504886,0.6817906836055656,0.9877300613496932,0.923278116826504,0.44422700587084146,0.95703125,0.23828125,0.966796875,0.0
0.0813365155891667,0.5335504885993485,0.6823956442831216,0.9886064855390009,0.9293809938971229,0.4246575342465753,0.96484375,0.21875,0.95703125,0.0
0.08759317063448721,0.5159609120521172,0.6830006049606776,0.9894829097283085,0.934612031386225,0.40313111545988256,0.974609375,0.19921875,0.9453125,0.0
