tau,eps_steg,eps_alias,err_contradict,err_delete,err_paraphrase,err_resample,err_shuffle,err_translate,err_unrelated
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.005697069311500492,1.0,0.3,0.375,0.3229166666666667,1.0,0.0,1.0,1.0,0.0
0.011394138623000984,0.9583333333333334,0.4583333333333333,0.5729166666666666,0.5833333333333334,0.9583333333333334,0.0,0.9166666666666666,1.0,0.0
0.017091207934501477,0.8472222222222222,0.5333333333333333,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.005208333333333333,0.75,1.0,0.0
0.022788277246001968,0.7083333333333334,0.575,0.71875,0.7291666666666666,0.5416666666666666,0.09375,0.5833333333333334,1.0,0.0
0.02848534655750246,0.625,0.5833333333333334,0.7291666666666666,0.8020833333333334,0.5,0.21875,0.4166666666666667,0.9583333333333334,0.0
0.034182415869002954,0.5833333333333334,0.6416666666666667,0.8020833333333334,0.8229166666666666,0.5,0.4010416666666667,0.2916666666666667,0.9583333333333334,0.0
0.039879485180503445,0.5694444444444444,0.6666666666666666,0.8333333333333334,0.8645833333333334,0.5,0.5,0.25,0.9583333333333334,0.0
0.045576554492003936,0.5138888888888888,0.675,0.84375,0.8645833333333334,0.4583333333333333,0.609375,0.20833333333333334,0.875,0.0
0.05127362380350443,0.5,0.6833333333333333,0.8541666666666666,0.8854166666666666,0.4166666666666667,0.6770833333333334,0.20833333333333334,0.875,0.0
0.05697069311500492,0.4861111111111111,0.7,0.875,0.8958333333333334,0.4166666666666667,0.7864583333333334,0.16666666666666666,0.875,0.0
0.06266776242650542,0.4722222222222222,0.7,0.875,0.8958333333333334,0.375,0.859375,0.16666666666666666,0.875,0.0
0.06836483173800591,0.4583333333333333,0.7,0.875,0.90625,0.375,0.9010416666666666,0.16666666666666666,0.8333333333333334,0.0
0.0740619010495064,0.4444444444444444,0.7,0.875,0.90625,0.3333333333333333,0.9375,0.16666666666666666,0.8333333333333334,0.0
0.07975897036100689,0.4305555555555556,0.7083333333333334,0.8854166666666666,0.9166666666666666,0.3333333333333333,0.9479166666666666,0.16666666666666666,0.7916666666666666,0.0
0.08545603967250738,0.4305555555555556,0.7166666666666667,0.8958333333333334,0.9166666666666666,0.3333333333333333,0.9583333333333334,0.16666666666666666,0.7916666666666666,0.0
0.09115310898400787,0.4027777777777778,0.7333333333333333,0.9166666666666666,0.9166666666666666,0.2916666666666667,0.9635416666666666,0.16666666666666666,0.75,0.0
0.09685017829550836,0.375,0.7333333333333333,0.9166666666666666,0.9166666666666666,0.2916666666666667,0.96875,0.125,0.7083333333333334,0.0
0.10254724760700885,0.3611111111111111,0.7416666666666667,0.9270833333333334,0.9166666666666666,0.2916666666666667,0.9739583333333334,0.125,0.6666666666666666,0.0
0.10824431691850935,0.3333333333333333,0.7416666666666667,0.9270833333333334,0.9166666666666666,0.2916666666666667,0.9791666666666666,0.08333333333333333,0.625,0.0
0.11394138623000984,0.3333333333333333,0.7416666666666667,0.9270833333333334,0.9166666666666666,0.2916666666666667,0.9791666666666666,0.08333333333333333,0.625,0.0
0.11963845554151033,0.3055555555555556,0.7416666666666667,0.9270833333333334,0.9166666666666666,0.25,0.9791666666666666,0.08333333333333333,0.5833333333333334,0.0
0.12533552485301083,0.2916666666666667,0.7416666666666667,0.9270833333333334,0.9270833333333334,0.25,0.984375,0.041666666666666664,0.5833333333333334,0.0
